id,symbol,last_close,signal,trend,rsi_14,rsi_overbought,rsi_oversold,ema_50,ema_200,golden_cross,death_cross,updated_at
67,GUNKUL,4.67999983,SELL (RSI Overbought),BULLISH,78.23,1,0,3.77151398,2.70999031,FALSE,FALSE,54:55.9
89,THANI,1.99000001,SELL (RSI Overbought),BULLISH,78.12,1,0,1.71949513,1.69398377,FALSE,FALSE,54:55.9
8,BDMS,19.20000076,NEUTRAL,BEARISH,55.57,0,0,18.74462873,19.39242432,FALSE,FALSE,54:55.9
13,CPAXT,14.69999981,NEUTRAL,BEARISH,44.38,0,0,14.99007029,16.72183519,FALSE,FALSE,54:55.9
21,OR,12.5,NEUTRAL,BEARISH,52.6,0,0,12.40080219,12.9291997,FALSE,FALSE,54:55.9
22,HMPRO,6.3499999,NEUTRAL,BEARISH,52.7,0,0,6.24416956,6.5348581,FALSE,FALSE,54:55.9
27,LH,3.70000005,NEUTRAL,BEARISH,48.8,0,0,3.70764017,3.8192423,FALSE,FALSE,54:55.9
30,MTC,31.5,NEUTRAL,BEARISH,55.15,0,0,30.22743355,33.3118733,FALSE,FALSE,54:55.9
34,SAWAD,23.10000038,NEUTRAL,BEARISH,52.96,0,0,22.68801229,24.33263004,FALSE,FALSE,54:55.9
40,CBG,47,NEUTRAL,BEARISH,64.47,0,0,42.50526834,44.63038833,FALSE,FALSE,54:55.9
41,OSP,16.89999962,NEUTRAL,BEARISH,56.35,0,0,16.13192238,16.26411681,FALSE,FALSE,54:55.9
45,AP,7.44999981,NEUTRAL,BEARISH,50.66,0,0,7.57343937,8.00867394,FALSE,FALSE,54:55.9
49,BJC,14.5,NEUTRAL,BEARISH,50.72,0,0,14.4298596,15.84076836,FALSE,FALSE,54:55.9
50,SPALI,15.69999981,NEUTRAL,BEARISH,45.85,0,0,15.92317927,16.44922612,FALSE,FALSE,54:55.9
54,BAM,6.5999999,NEUTRAL,BEARISH,47.99,0,0,6.69389965,7.22154281,FALSE,FALSE,54:55.9
55,SAPPE,31,NEUTRAL,BEARISH,46.82,0,0,30.96938971,32.28393301,FALSE,FALSE,54:55.9
56,CHG,1.55999994,NEUTRAL,BEARISH,55.38,0,0,1.49505101,1.52998113,FALSE,FALSE,54:55.9
57,BCH,9.64999962,NEUTRAL,BEARISH,49.94,0,0,9.60296927,10.6128393,FALSE,FALSE,54:55.9
59,ORI,1.75999999,NEUTRAL,BEARISH,54.1,0,0,1.73905164,1.93345306,FALSE,FALSE,54:55.9
62,DOHOME,3.5999999,NEUTRAL,BEARISH,52.02,0,0,3.50814862,3.60229545,FALSE,FALSE,54:55.9
66,BCPG,6.94999981,NEUTRAL,BEARISH,48.91,0,0,6.95757021,7.2758654,FALSE,FALSE,54:55.9
69,PTG,7.44999981,NEUTRAL,BEARISH,50.49,0,0,7.53089402,7.67471026,FALSE,FALSE,54:55.9
71,PR9,16.89999962,NEUTRAL,BEARISH,45.89,0,0,17.0159262,19.03812174,FALSE,FALSE,54:55.9
72,AEONTS,103,NEUTRAL,BEARISH,63.49,0,0,96.862728,99.45795412,FALSE,FALSE,54:55.9
77,SJWD,8.05000019,NEUTRAL,BEARISH,52.53,0,0,7.84098382,8.00263232,FALSE,FALSE,54:55.9
80,TASCO,13.69999981,NEUTRAL,BEARISH,48.67,0,0,13.72732169,13.98492736,FALSE,FALSE,54:55.9
81,GFPT,9.05000019,NEUTRAL,BEARISH,55.84,0,0,8.89245249,9.41868361,FALSE,FALSE,54:55.9
85,AAV,1.07000005,NEUTRAL,BEARISH,43.57,0,0,1.09255463,1.15605214,FALSE,FALSE,54:55.9
88,JTS,33.75,NEUTRAL,BEARISH,45.22,0,0,38.23427367,40.5464932,FALSE,FALSE,54:55.9
90,SNNP,6.80000019,NEUTRAL,BEARISH,51.41,0,0,6.81352101,7.60171228,FALSE,FALSE,54:55.9
91,SPA,3.22000003,NEUTRAL,BEARISH,54.46,0,0,3.1487233,3.18432778,FALSE,FALSE,54:55.9
92,MEB,12.19999981,NEUTRAL,BEARISH,55.93,0,0,12.16588352,14.47368729,FALSE,FALSE,54:55.9
95,NSL,22.20000076,NEUTRAL,BEARISH,53.82,0,0,21.89143062,24.28809622,FALSE,FALSE,54:55.9
96,MALEE,3.98000002,NEUTRAL,BEARISH,41.45,0,0,4.07406729,4.46986702,FALSE,FALSE,54:55.9
97,SABINA,15.60000038,NEUTRAL,BEARISH,65.91,0,0,15.34061486,15.56363936,FALSE,FALSE,54:55.9
98,AU,4.61999989,NEUTRAL,BEARISH,41.52,0,0,4.70361905,5.09676255,FALSE,FALSE,54:55.9
99,MASTER,8.39999962,NEUTRAL,BEARISH,45.96,0,0,8.53080251,9.6571133,FALSE,FALSE,54:55.9
23,CPF,21.70000076,SELL (RSI Overbought),BEARISH,76.02,1,0,19.7048452,20.73353644,FALSE,FALSE,54:55.9
